Género;Promedio (ms)
Sci Fi & Fantasy;2911783.038461538462
Science Fiction;2625549.076923076923
Drama;2575283.781250000000
TV Shows;2145041.021505376344
Comedy;1585263.705882352941
Metal;309749.443850267380
Electronica/Dance;302985.800000000000
Heavy Metal;297452.928571428571
Classical;293867.567567567568
Jazz;291755.376923076923
Rock;284052.996075353218
Blues;270359.777777777778
Alternative;264058.525000000000
Reggae;247177.758620689655
Soundtrack;244370.883720930233
Alternative & Punk;234539.184290030211
Latin;233284.398230088496
Pop;229034.104166666667
World;224923.821428571429
R&B/Soul;222041.387755102041
Bossa Nova;219590.000000000000
Easy Listening;189164.208333333333
Hip Hop/Rap;178176.285714285714
Opera;174813.000000000000
Rock And Roll;134643.500000000000
